FID,Building's construction year,Number of floors,Number of apartments,Total electricity consumption (kWh),Latitude,Longitude,Area in m^2
1287,1940,2,3,9.531,35.5308858499999,33.8876292799999,124.429883411
1288,1930,2,2,10.054,35.5238197199999,33.8949914,80.2518659811999
1289,1957,6,15,48.24,35.52440836,33.89531721,251.953145030999
1290,1939,4,6,11.994,35.52473907,33.89537148,138.483789937
1291,1950,5,5,12.775,35.5247116899999,33.8954622999999,89.5861189333
1292,1947,4,4,26.2689999999999,35.5238135099999,33.8952808399999,258.445924069999
1293,1942,2,3,13.103,35.52394358,33.8950219099999,173.814239377
1294,1936,2,2,14.727,35.52575555,33.89629746,297.211297955
1295,1950,5,18,61.35,35.52607245,33.896124,1101.20601136999
1296,1945,2,5,19.3859999999999,35.5267993499999,33.89607171,113.103280624999
1297,1940,4,5,35.926,35.5267710299999,33.89598101,168.862715584
1298,1970,7,7,33.587,35.52620412,33.8951822,123.305967250999
1299,1937,4,8,38.7539999999999,35.5264500799999,33.8950473399999,105.602735865
1300,1965,4,4,25.074,35.52620943,33.89492148,109.104435074999
1301,1932,3,7,20.02,35.52586026,33.8948466,203.956054267
1302,1971,2,2,9.499,35.52600206,33.89515686,159.860874286
1303,1985,7,15,107.484999999999,35.52521686,33.89539031,522.753618491999
1304,1942,1,3,8.62599999999999,35.52480828,33.89521819,78.7650283014999
1305,1970,8,14,114.042,35.52500783,33.8950251999999,402.522070484999
1306,1950,4,4,23.748,35.52531115,33.89570614,119.693980570999
1307,1985,8,18,105.688,35.5250182999999,33.89523578,455.555868615999
1308,1935,1,3,12.423,35.52494815,33.8954610999999,142.736008161
1309,1945,2,2,7.145,35.52514085,33.89572306,192.895977141999
1310,1940,1,9,37.991,35.52513744,33.89626839,146.005263001999
1311,1930,2,9,25.945,35.5250209,33.89640526,200.267323046999
1312,1940,1,3,3.588,35.5248233599999,33.8962632599999,123.786695186
1313,1940,1,5,25.492,35.5246054099999,33.89595302,187.469545656999
1314,1930,3,4,7.354,35.5263286699999,33.89669914,133.689181614999
1315,1950,3,4,20.6879999999999,35.52653249,33.89668459,153.74100569
1316,1930,1,6,29.9669999999999,35.52699407,33.89669519,226.584908253
1317,1938,1,2,19.965,35.52675056,33.8966027999999,199.808752666999
1318,1970,2,1,6.11,35.52660222,33.89660243,76.2999166800999
1319,1939,1,2,11.662,35.52700585,33.89655553,148.948421316999
1320,1927,3,5,21.745,35.5268091599999,33.89648176,94.5291064362999
1321,1948,5,6,44.493,35.5266749999999,33.89644011,197.306644941
1322,1949,3,6,27.01,35.5265528099999,33.89646956,219.690966618
1323,1968,6,14,79.1479999999999,35.52640009,33.89644736,238.161101011
1324,1944,3,3,24.51,35.52624363,33.89649206,218.870269497999
1325,1942,4,4,23.3419999999999,35.5252698899999,33.8962138699999,222.487247916999
1326,1945,1,1,6.052,35.5247350499999,33.89604998,182.577671602999
1327,1960,4,4,28.116,35.52506874,33.8980280299999,129.953151673999
1328,1960,3,6,26.7989999999999,35.52511958,33.8985011199999,210.417638156999
1329,1970,7,12,47.6499999999999,35.52515013,33.89826,200.715778607999
1330,1960,5,10,33.8909999999999,35.52490643,33.89842024,221.535170701999
1331,1940,2,2,16.556,35.52647161,33.8980678799999,98.0932388105999
1332,1950,2,4,22.385,35.52645419,33.8982464099999,155.646838417999
1333,1930,2,3,4.842,35.52674924,33.89828895,98.1168720649999
1334,1920,2,4,2.508,35.52679709,33.8983883399999,135.605503386999
1335,1910,2,4,4.297,35.5269383999999,33.8983297799999,72.1803774799
1336,1980,6,20,101.275999999999,35.5262157,33.8975665299999,712.249805731
1337,1960,4,6,7.021,35.5256346199999,33.8977611999999,172.705724411999
1338,1950,3,6,9.321,35.52547449,33.89774398,183.068678605
1339,1960,2,2,17.687,35.5254905999999,33.89755576,212.231152435
1340,1960,4,12,38.2079999999999,35.52565191,33.89757557,176.959821677999
1341,1960,7,35,135.793,35.5227378599999,33.8967232199999,551.783105543
1342,1940,1,3,3.997,35.52725564,33.89850656,75.7509240498999
1343,1933,2,4,28.888,35.52692531,33.89854562,193.725072936999
1344,1940,3,6,39.741,35.52409653,33.8978164,301.574668724999
1345,1920,2,2,2.62,35.53123956,33.8969855,255.628165478
1346,1920,1,2,21.5139999999999,35.5310484399999,33.89707902,289.170114442999
1347,1940,2,2,7.151,35.5307758699999,33.8971265599999,423.107122311
1348,1940,3,3,29.8649999999999,35.53275319,33.89652326,279.381087596999
1349,1980,4,4,59.392,35.53256909,33.89665097,359.413391843999
1350,1950,3,3,35.012,35.5323657,33.89666159,211.277044477
1351,1940,5,5,110.802999999999,35.5322266,33.8968299,655.393998902
1352,1950,6,12,84.769,35.5318910299999,33.8968175099999,292.964651769
1353,1950,4,8,154.014999999999,35.53194537,33.89707647,447.177656793999
1354,1940,3,13,35.999,35.52867382,33.90153609,179.599624317
1355,1940,3,6,642.0,35.5283341,33.9008645899999,118.160535221999
1356,1900,1,1,1.53,35.52780458,33.9012114,729.622190750999
1357,1950,2,2,84.9009999999999,35.5279677199999,33.90093255,522.094341666999
1358,1940,4,8,34.2719999999999,35.52836671,33.90131594,161.069041219
1359,1940,4,8,41.5469999999999,35.52851076,33.9013155,165.345267801999
1360,1920,1,1,1.685,35.5289208499999,33.90127154,157.334557794
1361,1940,3,6,15.176,35.5289977799999,33.9011415,204.031090105999
1362,1940,3,9,28.731,35.52897926,33.9009946799999,173.802324908
1363,1940,2,4,14.242,35.53377874,33.89671641,109.089033466
1364,1940,2,3,9.01099999999999,35.53384272,33.8967858899999,53.0938572445
1365,1940,2,2,24.4059999999999,35.53388599,33.89691981,92.3819877635
1366,1940,2,3,9.016,35.53377563,33.89711538,109.093794877999
1367,1950,2,4,92.3149999999999,35.5342097799999,33.8975098499999,58.2729820292
1368,1930,2,4,19.0509999999999,35.53428832,33.89749269,66.5512396222
1369,1940,1,4,15.7319999999999,35.53418354,33.8974352899999,66.6741024068
1370,1930,2,4,7.805,35.5342689499999,33.89741706,80.3241419287
1371,1940,1,2,5.031,35.53395433,33.8973162799999,55.2201979564
1372,1940,1,5,9.233,35.53399352,33.89722238,57.4817712477999
1373,1940,1,6,19.626,35.5340508,33.89739233,74.4178631742999
1374,1940,1,3,13.587,35.5338537399999,33.89738133,70.4204776283
1375,1950,1,1,3.316,35.53384382,33.89755804,61.1562002717
1376,1940,2,3,4.326,35.53375538,33.89746496,37.2413821831
1377,1950,2,2,5.806,35.5338226699999,33.89744052,53.3652778754999
